,index,best_par,roc,threshold,reg_param
20,20,"{'memory': None, 'steps': [('variancethreshold', VarianceThreshold(threshold=1.0)), ('quadraticdiscriminantanalysis', QuadraticDiscriminantAnalysis(priors=None, reg_param=0.8,
                              store_covariance=False, tol=0.0001))], 'verbose': False, 'variancethreshold': VarianceThreshold(threshold=1.0), 'quadraticdiscriminantanalysis': QuadraticDiscriminantAnalysis(priors=None, reg_param=0.8,
                              store_covariance=False, tol=0.0001), 'variancethreshold__threshold': 1.0, 'quadraticdiscriminantanalysis__priors': None, 'quadraticdiscriminantanalysis__reg_param': 0.8, 'quadraticdiscriminantanalysis__store_covariance': False, 'quadraticdiscriminantanalysis__tol': 0.0001}",0.9573620823620824,1.0,0.8
21,21,"{'memory': None, 'steps': [('variancethreshold', VarianceThreshold(threshold=1.2000000000000002)), ('quadraticdiscriminantanalysis', QuadraticDiscriminantAnalysis(priors=None, reg_param=0.9,
                              store_covariance=False, tol=0.0001))], 'verbose': False, 'variancethreshold': VarianceThreshold(threshold=1.2000000000000002), 'quadraticdiscriminantanalysis': QuadraticDiscriminantAnalysis(priors=None, reg_param=0.9,
                              store_covariance=False, tol=0.0001), 'variancethreshold__threshold': 1.2000000000000002, 'quadraticdiscriminantanalysis__priors': None, 'quadraticdiscriminantanalysis__reg_param': 0.9, 'quadraticdiscriminantanalysis__store_covariance': False, 'quadraticdiscriminantanalysis__tol': 0.0001}",0.9580519018841096,1.2000000000000002,0.9
22,22,"{'memory': None, 'steps': [('variancethreshold', VarianceThreshold(threshold=1.2000000000000002)), ('quadraticdiscriminantanalysis', QuadraticDiscriminantAnalysis(priors=None, reg_param=0.8,
                              store_covariance=False, tol=0.0001))], 'verbose': False, 'variancethreshold': VarianceThreshold(threshold=1.2000000000000002), 'quadraticdiscriminantanalysis': QuadraticDiscriminantAnalysis(priors=None, reg_param=0.8,
                              store_covariance=False, tol=0.0001), 'variancethreshold__threshold': 1.2000000000000002, 'quadraticdiscriminantanalysis__priors': None, 'quadraticdiscriminantanalysis__reg_param': 0.8, 'quadraticdiscriminantanalysis__store_covariance': False, 'quadraticdiscriminantanalysis__tol': 0.0001}",0.980855855855856,1.2000000000000002,0.8
23,23,"{'memory': None, 'steps': [('variancethreshold', VarianceThreshold(threshold=1.2000000000000002)), ('quadraticdiscriminantanalysis', QuadraticDiscriminantAnalysis(priors=None, reg_param=0.6000000000000001,
                              store_covariance=False, tol=0.0001))], 'verbose': False, 'variancethreshold': VarianceThreshold(threshold=1.2000000000000002), 'quadraticdiscriminantanalysis': QuadraticDiscriminantAnalysis(priors=None, reg_param=0.6000000000000001,
                              store_covariance=False, tol=0.0001), 'variancethreshold__threshold': 1.2000000000000002, 'quadraticdiscriminantanalysis__priors': None, 'quadraticdiscriminantanalysis__reg_param': 0.6000000000000001, 'quadraticdiscriminantanalysis__store_covariance': False, 'quadraticdiscriminantanalysis__tol': 0.0001}",0.9674986030918236,1.2000000000000002,0.6000000000000001
24,24,"{'memory': None, 'steps': [('variancethreshold', VarianceThreshold(threshold=1.2000000000000002)), ('quadraticdiscriminantanalysis', QuadraticDiscriminantAnalysis(priors=None, reg_param=0.9,
                              store_covariance=False, tol=0.0001))], 'verbose': False, 'variancethreshold': VarianceThreshold(threshold=1.2000000000000002), 'quadraticdiscriminantanalysis': QuadraticDiscriminantAnalysis(priors=None, reg_param=0.9,
                              store_covariance=False, tol=0.0001), 'variancethreshold__threshold': 1.2000000000000002, 'quadraticdiscriminantanalysis__priors': None, 'quadraticdiscriminantanalysis__reg_param': 0.9, 'quadraticdiscriminantanalysis__store_covariance': False, 'quadraticdiscriminantanalysis__tol': 0.0001}",0.9709165386584742,1.2000000000000002,0.9
25,25,"{'memory': None, 'steps': [('variancethreshold', VarianceThreshold(threshold=1.3)), ('quadraticdiscriminantanalysis', QuadraticDiscriminantAnalysis(priors=None, reg_param=0.9,
                              store_covariance=False, tol=0.0001))], 'verbose': False, 'variancethreshold': VarianceThreshold(threshold=1.3), 'quadraticdiscriminantanalysis': QuadraticDiscriminantAnalysis(priors=None, reg_param=0.9,
                              store_covariance=False, tol=0.0001), 'variancethreshold__threshold': 1.3, 'quadraticdiscriminantanalysis__priors': None, 'quadraticdiscriminantanalysis__reg_param': 0.9, 'quadraticdiscriminantanalysis__store_covariance': False, 'quadraticdiscriminantanalysis__tol': 0.0001}",0.9628175996694898,1.3,0.9
26,26,"{'memory': None, 'steps': [('variancethreshold', VarianceThreshold(threshold=1.3)), ('quadraticdiscriminantanalysis', QuadraticDiscriminantAnalysis(priors=None, reg_param=0.6000000000000001,
                              store_covariance=False, tol=0.0001))], 'verbose': False, 'variancethreshold': VarianceThreshold(threshold=1.3), 'quadraticdiscriminantanalysis': QuadraticDiscriminantAnalysis(priors=None, reg_param=0.6000000000000001,
                              store_covariance=False, tol=0.0001), 'variancethreshold__threshold': 1.3, 'quadraticdiscriminantanalysis__priors': None, 'quadraticdiscriminantanalysis__reg_param': 0.6000000000000001, 'quadraticdiscriminantanalysis__store_covariance': False, 'quadraticdiscriminantanalysis__tol': 0.0001}",0.9645648775403856,1.3,0.6000000000000001
27,27,"{'memory': None, 'steps': [('variancethreshold', VarianceThreshold(threshold=1.3)), ('quadraticdiscriminantanalysis', QuadraticDiscriminantAnalysis(priors=None, reg_param=0.2,
                              store_covariance=False, tol=0.0001))], 'verbose': False, 'variancethreshold': VarianceThreshold(threshold=1.3), 'quadraticdiscriminantanalysis': QuadraticDiscriminantAnalysis(priors=None, reg_param=0.2,
                              store_covariance=False, tol=0.0001), 'variancethreshold__threshold': 1.3, 'quadraticdiscriminantanalysis__priors': None, 'quadraticdiscriminantanalysis__reg_param': 0.2, 'quadraticdiscriminantanalysis__store_covariance': False, 'quadraticdiscriminantanalysis__tol': 0.0001}",0.940129935032484,1.3,0.2
28,28,"{'memory': None, 'steps': [('variancethreshold', VarianceThreshold(threshold=1.1)), ('quadraticdiscriminantanalysis', QuadraticDiscriminantAnalysis(priors=None, reg_param=0.8,
                              store_covariance=False, tol=0.0001))], 'verbose': False, 'variancethreshold': VarianceThreshold(threshold=1.1), 'quadraticdiscriminantanalysis': QuadraticDiscriminantAnalysis(priors=None, reg_param=0.8,
                              store_covariance=False, tol=0.0001), 'variancethreshold__threshold': 1.1, 'quadraticdiscriminantanalysis__priors': None, 'quadraticdiscriminantanalysis__reg_param': 0.8, 'quadraticdiscriminantanalysis__store_covariance': False, 'quadraticdiscriminantanalysis__tol': 0.0001}",0.9508110936682366,1.1,0.8
29,29,"{'memory': None, 'steps': [('variancethreshold', VarianceThreshold(threshold=1.2000000000000002)), ('quadraticdiscriminantanalysis', QuadraticDiscriminantAnalysis(priors=None, reg_param=0.5,
                              store_covariance=False, tol=0.0001))], 'verbose': False, 'variancethreshold': VarianceThreshold(threshold=1.2000000000000002), 'quadraticdiscriminantanalysis': QuadraticDiscriminantAnalysis(priors=None, reg_param=0.5,
                              store_covariance=False, tol=0.0001), 'variancethreshold__threshold': 1.2000000000000002, 'quadraticdiscriminantanalysis__priors': None, 'quadraticdiscriminantanalysis__reg_param': 0.5, 'quadraticdiscriminantanalysis__store_covariance': False, 'quadraticdiscriminantanalysis__tol': 0.0001}",0.9717887154861944,1.2000000000000002,0.5
